Province,District,Facility,USID,Lat,Long,Mentor_Mother_facility,Mentor_Mother_community,PE_facility,PE_community,Status
Nampula,Nampula,1 de Maio CSURB,1030108,-15.1142,39.2681,5,8,1,1,With m2m
Nampula,Nampula,25 de Setembro CS,1030106,-15.1114,39.2536,8,18,1,1,With m2m
Nampula,Nampula,Hospital Psiquiatrico,1030110,-15.1117,39.2281,5,4,1,1,With m2m
Nampula,Nampula,Muhala PS,1030117,-15.1205,39.2642,6,6,1,2,With m2m
Nampula,Nampula,Namicopo PS,1030113,-15.1106,39.2728,4,7,1,1,With m2m
Nampula,Cidade Nampula,Office,#N/A,-15.07118,39.124,,,,,Office
Nampula,Erati,Alua CS,#N/A,-13.9356,39.9251,4,5,1,1,With m2m
Nampula,Erati,Namapa HR,1030301,-13.7163,39.8226,4,4,1,1,With m2m
Nampula,Meconta,Namialo CS,1030706,-14.9289,40.0019,4,3,1,1,With m2m
Nampula,Nacala,Akumi CS,#N/A,-14.5353,40.6939,4,4,1,1,With m2m
Nampula,Nacala,Nacala Porto CS,#N/A,-14.5353,40.6939,5,3,1,1,With m2m
Nampula,Moma,Moma HD,1031206,-16.7625,39.2228,4,8,1,1,New site
Nampula,Moma,Chalaua CS,1031207,-16.0914,39.1581,4,7,1,1,New site
Nampula,Angoche,Angoche HR,1030201,-16.2294,39.9078,5,11,1,1,New site
Nampula,Mogovolas,Nametil CS,1031106,-15.7089,39.3378,5,11,1,1,New site
Nampula,Monapo,Marrere HG,1030107,-15.1194,39.1894,3,6,1,1,New site
Nampula,Moma,Micane CS,1031218,-16.6039,39.2506,3,4,1,1,New site
