Province,District,Facility,USID,Lat,Long,Mentor_Mother_facility,Mentor_Mother_community,PE_facility,PE_community,Status
Cabo Delgado,Pemba,Eduardo Mondlane CS,1020110,-12.9711,40.5533,4,4,,,With m2m
Cabo Delgado,Pemba,Natite CS,1020108,-12.9619,40.5089,4,6,,,With m2m
Cabo Delgado,Pemba,Office,#N/A,-12.964765,40.484513,,,,,Office
Cabo Delgado,Chiure,Chiure HD,1020406,-13.3825,39.7844,4,5,,,With m2m
Nampula,Nampula,1 de Maio CSURB,1030108,-15.1142,39.2681,5,8,1,1,With m2m
Nampula,Nampula,25 de Setembro CS II,1030106,-15.1114,39.2536,8,18,1,1,With m2m
Nampula,Nampula,Hospital Psiquiatrico,1030110,-15.1117,39.2281,5,4,1,1,With m2m
Nampula,Nampula,Muhala PS,1030117,-15.1205,39.2642,6,6,1,2,With m2m
Nampula,Nampula,Namicopo PS,1030113,-15.1106,39.2728,4,7,1,1,With m2m
Nampula,Cidade Nampula,Office,#N/A,-15.07118,39.124,,,,,Office
Nampula,Erati,Alua CS I,#N/A,-13.9356,39.9251,4,5,1,1,With m2m
Nampula,Erati,Namapa HR,1030301,-13.7163,39.8226,4,4,1,1,With m2m
Nampula,Meconta,Namialo CS,1030706,-14.9289,40.0019,4,3,1,1,With m2m
Nampula,Nacala,Akumi CS,#N/A,-14.5353,40.6939,4,4,1,1,With m2m
Nampula,Nacala,Nacala Porto CS,#N/A,-14.5353,40.6939,5,3,1,1,With m2m
Nampula,Moma,Moma HD,1031206,-16.7625,39.2228,4,8,1,1,New site
Nampula,Moma,Chalaua CS,1031207,-16.0914,39.1581,4,7,1,1,New site
Nampula,Angoche,Angoche HR,1030201,-16.2294,39.9078,5,11,1,1,New site
Nampula,Mogovolas,Nametil CS,1031106,-15.7089,39.3378,5,11,1,1,New site
Nampula,Monapo,Monapo CS,1031306,-14.9206,40.2986,3,6,1,1,New site
Nampula,Moma,Micane CS,1031218,-16.6039,39.2506,3,4,1,1,New site
Zambezia,Milange,Milange CSURB,1041006,-16.0981,35.7814,7,9,,,With m2m
Zambezia,Mocuba,16 de Junho CS I,1041137,-16.85,36.9833333,4,6,,,With m2m
Zambezia,Mocuba,Mocuba CSURB,1041106,-16.8389,36.9799,9,8,,,With m2m
Zambezia,Mocuba,Muanaco CS,1041136,-16.85,36.98333332,4,4,,,With m2m
Zambezia,Mocuba,Mugeba CS III,1041108,-16.5173,37.1673,5,4,,,With m2m
Zambezia,Mocuba,Padre Usera (Privado) CSURB,1041111,-16.8394,36.9847,4,5,,,With m2m
Zambezia,Mocuba,Pedreira CS,1041121,-16.839215,36.985642,3,3,,,With m2m
Zambezia,Mocuba,Samora Machel CS,1041120,-16.8031,37.0061,4,3,,,With m2m
Zambezia,Nicoadala,Licuar CS ,1041609,-17.5811,36.6958,5,6,,,With m2m
Zambezia,Nicoadala,Namacata CS III,1041613,-17.7855,36.9067,5,5,,,With m2m
Zambezia,Nicoadala,Nicoadala CS II,1041614,-17.6031,36.8195,7,10,,,With m2m
Zambezia,Quelimane,Office,#N/A,-17.878624,36.89033,,,,,Office
